tenure,monthlycharges,totalcharges,partner,dependents,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,seniorcitizen,gender,prediction,churn probability %,remain probability %,model_used,stay probability %
15,35,525,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,29.94,70.06,logistic_regression,
1,1,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,39.77,60.23,logistic_regression,
1,1,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,57.0,43.0,random_forest,
1,1,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,39.77,60.23,logistic_regression,
1,1,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,51.11,48.89,adaboost,
1,39,39,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,51.11,48.89,adaboost,
11,39,429,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,50.72,49.28,adaboost,
29,39,1131,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,50.18,49.82,adaboost,
48,74,3552,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,50.06,49.94,adaboost,
48,74,3552,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0,Male,Stay,49.9,50.1,adaboost,
48,74,3552,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0,Male,Stay,49.71,50.29,adaboost,
48,74,3552,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0,Male,Stay,49.85,50.15,adaboost,
48,74,3552,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0,Male,Stay,49.11,50.89,adaboost,
48,74,3552,Yes,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0,Male,Stay,49.42,50.58,adaboost,
48,74,3552,Yes,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0,Female,Stay,49.52,50.48,adaboost,
48,74,3552,Yes,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),0,Female,Stay,48.71,51.29,adaboost,
48,74,3552,Yes,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,0,Female,Stay,48.46,51.54,adaboost,
48,74,3552,Yes,Yes,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Mailed check,0,Female,Stay,48.41,51.59,adaboost,
48,74,3552,Yes,Yes,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Mailed check,0,Female,Stay,48.52,51.48,adaboost,
48,74,3552,Yes,Yes,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Mailed check,0,Female,Stay,5.41,94.59,logistic_regression,
48,74,3552,Yes,Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,0,Female,Stay,3.39,96.61,logistic_regression,
48,33,1584,Yes,Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,0,Female,Stay,0.68,99.32,logistic_regression,
7,33,231,Yes,Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,0,Female,Stay,7.48,92.52,logistic_regression,
7,33,231,Yes,Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,0,Female,Stay,12.09,87.91,logistic_regression,
7,33,231,Yes,Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,0,Female,Stay,17.13,82.87,logistic_regression,
1,1,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,51.11,48.89,adaboost,
1,1,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,39.77,60.23,logistic_regression,
1,1,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,57.0,43.0,random_forest,
1,1,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,39.77,60.23,logistic_regression,
18,1,18,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,50.37,49.63,adaboost,
18,1,18,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,14.57,85.43,logistic_regression,
25,59,1475,No,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Female,Churn,50.28,49.72,adaboost,
1,1,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,39.77,60.23,logistic_regression,
1,53,53,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,54.6,45.4,logistic_regression,
32,53,1696,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,21.25,78.75,logistic_regression,
46,47,2162,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,9.82,90.18,logistic_regression,
34,30,1020,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,35.0,65.0,random_forest,
34,30,1020,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,50.18,49.82,adaboost,
34,58,1972,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,50.18,49.82,adaboost,
12,12,144,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,50.37,49.63,adaboost,
12,12,144,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,0,Male,Churn,50.32,49.68,adaboost,
44,12,528,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,0,Male,Stay,2.75,97.25,logistic_regression,
44,69,3036,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,0,Male,Stay,19.37,80.63,logistic_regression,
1,1,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,39.77,60.23,logistic_regression,
1,19,19,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,44.83,55.17,logistic_regression,
9,19,171,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,31.92,68.08,logistic_regression,
26,24,624,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,14.27,85.73,logistic_regression,
26,24,624,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,14.27,85.73,logistic_regression,
17,14,238,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,19.56,80.44,logistic_regression,
17,55,935,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,36.72,63.28,logistic_regression,
44,55,2420,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,14.03,85.97,logistic_regression,
44,39,1716,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,8.21,91.79,logistic_regression,
44,17,748,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,3.77,96.23,logistic_regression,
